,Item,Score,Target,accountAssignmentElement.prefLabel,administrativeClassification.prefLabel,budgetPhase.prefLabel,businessArea.prefLabel,currency.currency,economicClassification.prefLabel,fiscalYear.prefLabel,functionalClassification.prefLabel,operationCharacter.prefLabel,organization.organization,profitCenter.prefLabel
0,75,13.836251173,-1094.4,40-32 Medienzentrum,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Beamte,2021,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
1,4,13.57257978073,521.52,Rheinschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beihilfen,2020,FĂśrderschulen,Expenditure,http://dbpedia.org/resource/Bonn,Förderschulen
2,5,176.05045961731,-137.52,40-32 Medienzentrum,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beihilfen,2020,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
3,6,139.69159944355,359.4,Siebengebirgsschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beihilfen,2020,FĂśrderschulen,Expenditure,http://dbpedia.org/resource/Bonn,Förderschulen
4,97,513.733422134939,200,Mitarbeiter Ausstellungstechnik,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Reisekosten,2020,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
5,91,556.131591442133,120,Mitarbeiter Ausstellungstechnik,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Telekommunikationsleistungen,2020,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
6,3,60.34345151451,11.92,Archiv / Bibliothek / Dokumentation,Stadtarchiv und Stadthistorische Bibliothek,Approved,Stadtarchiv,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2020,Stadtarchiv,Expenditure,http://dbpedia.org/resource/Bonn,Stadtarchiv
7,72,4.09919774015468,23727.7,Archiv / Öffentlichkeitsarbeit 1,Stadtarchiv und Stadthistorische Bibliothek,Approved,Stadtarchiv,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2020,Stadtarchiv,Expenditure,http://dbpedia.org/resource/Bonn,Stadtarchiv
8,85,3.27581057182164,9601.83,Archiv / Öffentlichkeitsarbeit 1,Stadtarchiv und Stadthistorische Bibliothek,Approved,Stadtarchiv,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Z. gesetzl.SV f. tarifl. Beschäf.,2021,Stadtarchiv,Expenditure,http://dbpedia.org/resource/Bonn,Stadtarchiv
9,79,2.51406469726156,264.06,Archiv / Öffentlichkeitsarbeit 1,Stadtarchiv und Stadthistorische Bibliothek,Approved,Stadtarchiv,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2020,Stadtarchiv,Expenditure,http://dbpedia.org/resource/Bonn,Stadtarchiv
