,Item,Score,Target,accountAssignmentElement.prefLabel,administrativeClassification.prefLabel,budgetPhase.prefLabel,businessArea.prefLabel,currency.currency,economicClassification.prefLabel,fiscalYear.prefLabel,functionalClassification.prefLabel,operationCharacter.prefLabel,organization.organization,profitCenter.prefLabel
0,962,148186701.76633435,2019.0,http://data.openbudgets.eu/codelist/currency/EUR,Beteil.,Approved,Musikschule,Musikschule,"""Erst. an verb.Untern.",Musikschule,Musikschule,Expenditure,http://dbpedia.org/resource/Bonn,"Sond.verm."""
1,6096,66036089.00423156,13654.3,Gefahrenvorbeugung,Feuerwehr und Rettungsdienst,Approved,Feuerwehr und Rettungsdienst,http://data.openbudgets.eu/codelist/currency/EUR,Verrechnung Versicherungsbeitr.Amt 30,2019,Brandschutz,Internal Invoicing,http://dbpedia.org/resource/Bonn,Brandschutz
2,6101,65997623.37640141,13620.5,Krankentransport,Feuerwehr und Rettungsdienst,Approved,Feuerwehr und Rettungsdienst,http://data.openbudgets.eu/codelist/currency/EUR,Verrechnung Versicherungsbeitr.Amt 30,2019,Rettungsdienst (KRE),Internal Invoicing,http://dbpedia.org/resource/Bonn,Rettungsdienst (KRE)
3,7204,40151606.02446169,369.48,Gefahrenvorbeugung,Feuerwehr und Rettungsdienst,Approved,Feuerwehr und Rettungsdienst,http://data.openbudgets.eu/codelist/currency/EUR,Verrechnung Zinsaufwand,2019,Brandschutz,Internal Invoicing,http://dbpedia.org/resource/Bonn,Brandschutz
4,7026,18683433.99587692,3392.4,Telefon- / Portokosten / Büromaterial,Bürgerdienste,Approved,Bürgerdienste,http://data.openbudgets.eu/codelist/currency/EUR,Verrechnung Büromaterial,2019,PB02 Sicherheit und Ordnung,Internal Invoicing,http://dbpedia.org/resource/Bonn,Amt 33 TE-übergr.
5,6132,15963903.78626207,284.87,Statistik,Stadtplanungsamt,Approved,Stadtplanungsamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2019,Statistik,Expenditure,http://dbpedia.org/resource/Bonn,Statistik
6,9366,13537523.44620008,-9151.92,40-35 Schulsozialdienst,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Versorgungsaufwendungen für Beamte,2019,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
7,6408,11628758.054470219,-39999.9,Frankenbad,Sport- und Bäderamt,Approved,Badeanstalten (BgA),http://data.openbudgets.eu/codelist/currency/EUR,AfA technische Anlagen,2019,Bereitstellung und Betrieb von BĂ¤dern,Expenditure,http://dbpedia.org/resource/Bonn,Ber./Betr. v. Bädern
8,6331,11628758.054466518,-40000.0,Römerbad,Sport- und Bäderamt,Approved,Badeanstalten (BgA),http://data.openbudgets.eu/codelist/currency/EUR,AfA technische Anlagen,2019,Bereitstellung und Betrieb von BĂ¤dern,Expenditure,http://dbpedia.org/resource/Bonn,Ber./Betr. v. Bädern
9,6351,11628758.054466518,-40000.0,Hardtbergbad,Sport- und Bäderamt,Approved,Badeanstalten (BgA),http://data.openbudgets.eu/codelist/currency/EUR,AfA technische Anlagen,2019,Bereitstellung und Betrieb von BĂ¤dern,Expenditure,http://dbpedia.org/resource/Bonn,Ber./Betr. v. Bädern
10,6369,11628758.054466518,-40000.0,HB Beuel,Sport- und Bäderamt,Approved,Badeanstalten (BgA),http://data.openbudgets.eu/codelist/currency/EUR,AfA technische Anlagen,2019,Bereitstellung und Betrieb von BĂ¤dern,Expenditure,http://dbpedia.org/resource/Bonn,Ber./Betr. v. Bädern
11,6987,11628758.054466518,-40000.0,Melbbad,Sport- und Bäderamt,Approved,Badeanstalten (BgA),http://data.openbudgets.eu/codelist/currency/EUR,AfA technische Anlagen,2019,Bereitstellung und Betrieb von BĂ¤dern,Expenditure,http://dbpedia.org/resource/Bonn,Ber./Betr. v. Bädern
12,9369,9758524.258715343,-1770.6,40-35 Schulsozialdienst,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2019,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
13,2846,7733025.991173088,22399.0,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2019,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
14,6088,6591660.568376555,7185.48,Gefahrenvorbeugung,Feuerwehr und Rettungsdienst,Approved,Feuerwehr und Rettungsdienst,http://data.openbudgets.eu/codelist/currency/EUR,Verrechnung VKE-Anteile n. geb.relevant,2019,Brandschutz,Internal Invoicing,http://dbpedia.org/resource/Bonn,Brandschutz
15,6093,5679645.1650622245,5160.84,Krankentransport,Feuerwehr und Rettungsdienst,Approved,Feuerwehr und Rettungsdienst,http://data.openbudgets.eu/codelist/currency/EUR,Verrechnung VKE-Anteile n. geb.relevant,2019,Rettungsdienst (KRE),Internal Invoicing,http://dbpedia.org/resource/Bonn,Rettungsdienst (KRE)
16,7152,3909612.99133127,-352618.0,Gefahrenabwehr,Feuerwehr und Rettungsdienst,Approved,Feuerwehr und Rettungsdienst,http://data.openbudgets.eu/codelist/currency/EUR,Verrechnung VILV,2019,Brandschutz,Internal Invoicing,http://dbpedia.org/resource/Bonn,Brandschutz
